epoch,train_loss,test_loss,test_dice,lr
1,0.5582332285290414,0.5459817349910736,0.4663855473898374,0.0001
2,0.4903457594188777,0.47278766632080077,0.5407940286928533,0.0001
3,0.4750489512627775,0.47771971076726916,0.5325157462227256,0.0001
4,0.4523354127325795,0.48109356611967086,0.5297461587464083,0.0001
5,0.42810868444767863,0.4400233268737793,0.568333366104301,0.0001
6,0.4170579571615566,0.38482108563184736,0.6252481603940369,0.0001
7,0.3959114107218656,0.3165048032999039,0.689175388512109,0.0001
8,0.38048853874206545,0.31801814436912534,0.686714181110196,0.0001
9,0.37097418653694064,0.3110110551118851,0.6938950026115507,0.0001
10,0.3340873273258859,0.33901533782482146,0.6653525807460545,0.0001
11,0.3441022413020784,0.30160717815160754,0.6965343850598829,0.0001
12,0.33390365114266224,0.28111004680395124,0.7185653268313015,0.0001
13,0.306957573172721,0.2624267801642418,0.7374280482454413,0.0001
14,0.3041997814720327,0.24680064618587494,0.7541910396585387,0.0001
15,0.29713130403648724,0.24010965526103972,0.7618971781593775,0.0001
16,0.29679021151228385,0.2569988325238228,0.7493936627636588,0.0001
17,0.28889011158184574,0.21796756982803345,0.7790925414606014,0.0001
18,0.2871595190329985,0.22172618061304092,0.7751626542023561,0.0001
19,0.2854456042701548,0.20427502691745758,0.7968006109669524,0.0001
20,0.27764748402617195,0.18800295740365983,0.8104305259240292,0.0001
21,0.2719273453409022,0.19092162400484086,0.805787813071071,0.0001
22,0.28665026731111787,0.21875025928020478,0.7791224207752678,0.0001
23,0.2683931836350398,0.20849635899066926,0.7915014017509591,0.0001
24,0.2620446536351334,0.22126903980970383,0.7798179455078059,0.0001
25,0.2556202978573062,0.21600699722766875,0.7846149529906736,0.0001
26,0.2551587536931038,0.1950359672307968,0.8054501743751372,0.0001
27,0.258654263344678,0.21797691881656647,0.7824914741073286,0.0001
28,0.24987320053306492,0.21098000556230545,0.7865253983416205,0.0001
29,0.25714430517771025,0.22158608436584473,0.7787878349522488,0.0001
30,0.26762454015287485,0.16431539505720139,0.8312793710931248,0.0001
31,0.24916885806755587,0.1601344019174576,0.8375770388640592,0.0001
32,0.2399088352918625,0.18357544988393784,0.8133459854726871,0.0001
33,0.24150343611836433,0.20228461921215057,0.795199679111421,0.0001
34,0.23229608596725898,0.21261567026376724,0.7848802289869659,0.0001
35,0.24446688727899032,0.15853551179170608,0.8377663391333537,0.0001
36,0.22648694989356127,0.16846503764390947,0.8292381924337978,0.0001
37,0.22701977091756734,0.16166641265153886,0.8369898764287376,0.0001
38,0.22794009054248984,0.1415438324213028,0.8542638360017661,0.0001
